time;Азимут:;Наклон:;Крен:
1509974784.987;53.938;-63.537;133.092
1509974784.988;60.186;-63.537;133.092
1509974784.998;60.732;-62.926;132.175
1509974785.016;41.208;-63.986;124.989
1509974785.02;35.407;-63.986;124.989
1509974785.036;16.043;-63.390;118.244
1509974785.056;12.164;-61.953;116.623
1509974785.078;25.462;-61.174;119.342
1509974785.098;27.134;-61.039;119.636
1509974785.099;40.824;-61.039;119.636
1509974785.12;34.702;-60.037;116.779
1509974785.137;32.653;-59.634;115.886
1509974785.156;39.958;-61.968;120.554
1509974785.174;31.886;-61.968;120.554
1509974785.176;28.434;-61.923;119.465
1509974785.197;13.721;-59.844;114.578
1509974785.217;12.119;-61.561;114.871
1509974785.239;14.287;-63.619;116.264
1509974785.26;27.219;-63.619;116.264
1509974785.261;34.991;-64.277;119.703
1509974785.277;44.946;-63.718;123.145
1509974785.29;35.241;-63.718;123.145
1509974785.297;10.503;-62.340;115.058
1509974785.32;-28.835;-60.945;106.667
1509974785.338;-24.119;-61.067;107.645
1509974785.358;-9.438;-66.125;109.303
1509974785.366;-9.244;-66.125;109.303
1509974785.378;-46.657;-68.013;90.338
1509974785.398;-101.752;-58.993;59.865
1509974785.418;-119.778;-50.412;47.810
1509974785.439;-102.678;-57.377;62.873
1509974785.446;-106.596;-57.377;62.873
1509974785.458;-106.018;-48.207;113.017
1509974785.48;122.917;-44.342;142.494
1509974785.499;127.857;-36.652;165.635
1509974785.522;135.811;-29.220;166.785
1509974785.523;136.839;-29.220;166.785
1509974785.544;134.806;-24.152;175.725
1509974785.559;132.356;-22.336;-178.284
1509974785.56;117.550;-22.336;-178.284
1509974785.579;131.308;-19.864;179.720
1509974785.599;133.735;-19.618;179.137
1509974785.618;118.686;-19.864;-172.821
1509974785.636;62.383;-19.864;-172.821
1509974785.638;75.058;-17.346;-175.024
1509974785.66;99.908;-15.352;-176.992
1509974785.679;112.743;-14.335;-176.434
1509974785.698;129.931;-13.181;-176.992
1509974785.713;11.883;-13.181;-176.992
1509974785.72;40.047;-13.731;-174.043
1509974785.739;75.497;-10.286;-173.890
1509974785.76;62.485;-12.490;-171.669
1509974785.78;86.649;-9.755;-170.533
1509974785.79;49.356;-9.755;-170.533
1509974785.803;16.021;-8.490;-175.682
1509974785.82;-47.286;-8.460;178.548
1509974785.828;-34.887;-8.460;178.548
1509974785.839;44.732;-7.459;-174.960
1509974785.861;89.988;-4.053;-171.434
1509974785.88;154.316;-2.969;-177.852
1509974785.903;-126.832;-3.055;-179.655
1509974785.904;-44.025;-3.055;-179.655
1509974785.92;24.440;-7.356;-175.211
1509974785.94;59.264;-6.151;-169.878
1509974785.961;73.859;-2.422;-174.084
1509974785.98;26.173;-7.371;-174.980
1509974785.986;15.615;-7.371;-174.980
1509974786.001;17.083;-8.128;-174.566
1509974786.021;-35.611;-5.287;179.939
1509974786.04;-20.413;-7.114;-179.184
1509974786.061;175.366;13.018;-175.718
1509974786.062;173.562;13.018;-175.718
1509974786.083;40.156;-7.789;-170.227
1509974786.1;36.653;-7.789;-170.227
1509974786.102;4.933;-10.037;-175.332
1509974786.121;44.962;-5.060;-170.870
1509974786.142;-29.940;-6.054;-179.881
1509974786.162;-77.219;-2.069;173.339
1509974786.174;-76.716;-2.069;173.339
1509974786.182;-67.348;-0.930;-178.683
1509974786.202;-46.465;-3.739;-179.248
1509974786.223;-15.559;-5.109;-176.093
1509974786.242;12.567;-5.692;-172.986
1509974786.252;3.962;-5.692;-172.986
1509974786.261;49.565;-4.328;-166.269
1509974786.281;42.164;-2.880;-169.215
1509974786.301;51.208;-2.355;-168.262
1509974786.321;66.686;-0.005;-169.159
1509974786.332;-10.840;-0.005;-169.159
1509974786.341;68.792;0.109;-167.683
1509974786.362;72.828;-1.282;-162.847
1509974786.368;28.205;-1.282;-162.847
1509974786.382;36.101;-2.147;-161.270
1509974786.401;-39.144;0.666;-167.895
1509974786.422;-4.661;1.598;-165.647
1509974786.441;38.321;0.706;-163.169
1509974786.442;1.060;0.706;-163.169
1509974786.461;-68.132;3.554;-173.714
1509974786.484;-50.664;0.873;-171.625
1509974786.502;-51.100;-1.012;-174.092
1509974786.522;-45.899;-3.011;-174.313
1509974786.524;-42.400;-3.011;-174.313
1509974786.541;-40.796;-5.463;-175.846
1509974786.559;-38.552;-5.463;-175.846
1509974786.561;-43.796;-4.955;-177.171
1509974786.581;-41.232;-5.190;-176.497
1509974786.602;-33.842;-5.822;-174.674
1509974786.623;-40.950;-4.730;-176.013
1509974786.637;-40.175;-4.730;-176.013
1509974786.643;-38.905;-4.328;-175.326
1509974786.662;-38.948;-3.369;-174.574
1509974786.682;-51.484;-0.907;-175.374
1509974786.703;-68.687;1.469;-177.436
1509974786.714;-57.512;1.469;-177.436
1509974786.722;-55.981;1.920;-176.243
1509974786.744;-55.563;1.345;-176.964
1509974786.765;-61.178;1.376;-179.057
1509974786.783;-58.223;1.448;-177.728
1509974786.79;-64.752;1.448;-177.728
1509974786.803;-65.582;0.722;-179.685
1509974786.824;-53.313;-2.253;-179.445
1509974786.832;-45.534;-2.253;-179.445
1509974786.842;-42.372;-4.195;179.570
1509974786.862;-25.498;-5.274;-176.994
1509974786.883;-13.772;-6.039;-174.830
1509974786.902;-25.052;-4.840;-176.698
1509974786.905;-9.035;-4.840;-176.698
1509974786.924;-30.946;-3.568;179.153
1509974786.944;-6.137;-5.380;-176.183
1509974786.963;15.110;-7.422;-171.240
1509974786.983;-13.294;-5.795;-177.780
1509974786.985;8.022;-5.795;-177.780
1509974787.006;3.905;-6.277;-178.777
1509974787.023;18.549;-9.565;-173.803
1509974787.044;10.321;-10.654;-176.342
1509974787.06;28.003;-10.654;-176.342
